driving_time,from_center,to_center
13.19,HUNOR,BGETP
7.01,HUNOR,GAUTP
11.25,HUNOR,GESTP
10.11,HUNOR,GHSTP
6.34,HUNOR,GMHTP
7.13,HUNOR,GOSOR
0,HUNOR,HUNOR
13.3,HUNOR,NRSTP
6.97,HUNOR,AIBTP
12.56,HUNOR,BLATP
11.1,HUNOR,GBBTP
8.86,HUNOR,GFDTP
7.74,HUNOR,GJETP
9.44,HUNOR,GMIOR
11.25,HUNOR,LLXTP
12.73,HUNOR,NUTTP
12.73,HUNOR,NUWTP
4.84,HUNOR,AKTTP
12.32,HUNOR,BLETP
12.32,HUNOR,BLMTP
8.28,HUNOR,GBCTP
9.15,HUNOR,GFMTP
11.54,HUNOR,GKITP
6.59,HUNOR,GMLTP
10.23,HUNOR,GROTP
12.85,HUNOR,NAETP
4.28,HUNOR,SLOTP
4.05,HUNOR,AOETP
12.06,HUNOR,BLGTP
8.19,HUNOR,GBETP
10.02,HUNOR,GFRTP
10.82,HUNOR,GKKTP
11.13,HUNOR,GMNTP
8.29,HUNOR,GSTTP
12.89,HUNOR,NAVTP
4.05,HUNOR,AOLTP
3.41,HUNOR,CHROR
10.28,HUNOR,GBMTP
9.55,HUNOR,GGITP
10.8,HUNOR,GKLTP
9.89,HUNOR,GMRTP
8.56,HUNOR,GTUTP
12.9,HUNOR,NAMTP
12.9,HUNOR,NAWTP
2.4,HUNOR,AWDTP
2.83,HUNOR,COSTP
10.69,HUNOR,GBOTP
7.52,HUNOR,GHATP
10.68,HUNOR,GKMTP
9.46,HUNOR,GMZTP
8.16,HUNOR,GWZTP
11.91,HUNOR,NGRTP
2.28,HUNOR,AWGTP
4.86,HUNOR,CRITP
8.35,HUNOR,GBWOR
9.05,HUNOR,GHBTP
9.79,HUNOR,GKSTP
7.19,HUNOR,GNBTP
0.12,HUNOR,HBSTP
13.37,HUNOR,NLBTP
12.74,HUNOR,BANTP
3.33,HUNOR,CZATP
6.61,HUNOR,GBYOR
10.82,HUNOR,GHGTP
7.27,HUNOR,GLPTP
9.37,HUNOR,GNDOR
2.4,HUNOR,HDBTP
11.61,HUNOR,NMSTP
3.3,HUNOR,CZMTP
6.37,HUNOR,GDRTP
9.2,HUNOR,GHMTP
10.84,HUNOR,GLUTP
8.2,HUNOR,GNOOR
2.31,HUNOR,HPCTP
12.21,HUNOR,NNYTP
12.83,HUNOR,BBRTP
11.39,HUNOR,GAKTP
11.05,HUNOR,GDUTP
9.35,HUNOR,GHOTP
9.14,HUNOR,GMATP
11.28,HUNOR,GNWOR
1.76,HUNOR,HSZTP
13.36,HUNOR,NRDTP
11.48,NRSTP,AGATP
1.66,NRSTP,BGETP
7.49,NRSTP,GAUTP
2.33,NRSTP,GESTP
4.89,NRSTP,GHSTP
8.28,NRSTP,GMHTP
6.64,NRSTP,GOSOR
13.26,NRSTP,HUNOR
0,NRSTP,NRSTP
9.38,NRSTP,AIBTP
1.51,NRSTP,BLATP
2.5,NRSTP,GBBTP
5.47,NRSTP,GFDTP
6.52,NRSTP,GJETP
4.68,NRSTP,GMIOR
3.61,NRSTP,LLXTP
0.71,NRSTP,NUTTP
0.71,NRSTP,NUWTP
11.58,NRSTP,AKTTP
1.68,NRSTP,BLETP
1.68,NRSTP,BLMTP
7.08,NRSTP,GBCTP
4.58,NRSTP,GFMTP
6.15,NRSTP,GKITP
8.11,NRSTP,GMLTP
6.87,NRSTP,GROTP
0.84,NRSTP,NAETP
12.22,NRSTP,SLOTP
10.5,NRSTP,AOETP
2.49,NRSTP,BLGTP
7.07,NRSTP,GBETP
6.77,NRSTP,GFRTP
2.72,NRSTP,GKKTP
2.83,NRSTP,GMNTP
6.29,NRSTP,GSTTP
0.74,NRSTP,NAVTP
9.79,NRSTP,AOLTP
13.19,NRSTP,CHROR
4.27,NRSTP,GBMTP
4.38,NRSTP,GGITP
2.72,NRSTP,GKLTP
4.75,NRSTP,GMRTP
6.68,NRSTP,GTUTP
0.86,NRSTP,NAMTP
0.86,NRSTP,NAWTP
11.24,NRSTP,AWDTP
15.15,NRSTP,COSTP
3.15,NRSTP,GBOTP
6.52,NRSTP,GHATP
2.76,NRSTP,GKMTP
4.66,NRSTP,GMZTP
5.65,NRSTP,GWZTP
2.53,NRSTP,NGRTP
11.31,NRSTP,AWGTP
13.51,NRSTP,CRITP
6.27,NRSTP,GBWOR
5.13,NRSTP,GHBTP
5.04,NRSTP,GKSTP
6.59,NRSTP,GNBTP
13.36,NRSTP,HBSTP
0.54,NRSTP,NLBTP
1.23,NRSTP,BANTP
13.1,NRSTP,CZATP
8.1,NRSTP,GBYOR
5.37,NRSTP,GHGTP
6.83,NRSTP,GLPTP
4.42,NRSTP,GNDOR
15.38,NRSTP,HDBTP
2.09,NRSTP,NMSTP
13.16,NRSTP,CZMTP
7.77,NRSTP,GDRTP
4.77,NRSTP,GHMTP
5.88,NRSTP,GLUTP
7.01,NRSTP,GNOOR
14.81,NRSTP,HPCTP
1.3,NRSTP,NNYTP
1.68,NRSTP,BBRTP
2.27,NRSTP,GAKTP
2.43,NRSTP,GDUTP
4.51,NRSTP,GHOTP
5.05,NRSTP,GMATP
2.29,NRSTP,GNWOR
14.72,NRSTP,HSZTP
0.09,NRSTP,NRDTP
5.06,AIBTP,AGATP
9.45,AIBTP,BGETP
2.47,AIBTP,GAUTP
7.73,AIBTP,GESTP
5.81,AIBTP,GHSTP
1.9,AIBTP,GMHTP
6.32,AIBTP,GOSOR
7.33,AIBTP,HUNOR
9.76,AIBTP,NRSTP
0,AIBTP,AIBTP
8.85,AIBTP,BLATP
7.84,AIBTP,GBBTP
5.66,AIBTP,GFDTP
5.8,AIBTP,GJETP
5.62,AIBTP,GMIOR
7.03,AIBTP,LLXTP
9.2,AIBTP,NUTTP
9.2,AIBTP,NUWTP
4.39,AIBTP,AKTTP
8.73,AIBTP,BLETP
8.73,AIBTP,BLMTP
7.72,AIBTP,GBCTP
5.63,AIBTP,GFMTP
10.32,AIBTP,GKITP
1.87,AIBTP,GMLTP
9.3,AIBTP,GROTP
9.49,AIBTP,NAETP
5.01,AIBTP,SLOTP
3.37,AIBTP,AOETP
8.2,AIBTP,BLGTP
7.69,AIBTP,GBETP
4.7,AIBTP,GFRTP
7.28,AIBTP,GKKTP
8.62,AIBTP,GMNTP
3.71,AIBTP,GSTTP
9.57,AIBTP,NAVTP
3.39,AIBTP,AOLTP
6.38,AIBTP,CHROR
9.14,AIBTP,GBMTP
6.08,AIBTP,GGITP
7.29,AIBTP,GKLTP
6.41,AIBTP,GMRTP
4.01,AIBTP,GTUTP
9.57,AIBTP,NAMTP
9.57,AIBTP,NAWTP
4.99,AIBTP,AWDTP
8.36,AIBTP,COSTP
7.24,AIBTP,GBOTP
6.36,AIBTP,GHATP
7.09,AIBTP,GKMTP
5.65,AIBTP,GMZTP
4.61,AIBTP,GWZTP
10.07,AIBTP,NGRTP
5.04,AIBTP,AWGTP
6.33,AIBTP,CRITP
3.77,AIBTP,GBWOR
4.87,AIBTP,GHBTP
5.62,AIBTP,GKSTP
3.82,AIBTP,GNBTP
7.47,AIBTP,HBSTP
9.84,AIBTP,NLBTP
9.17,AIBTP,BANTP
6.27,AIBTP,CZATP
1.86,AIBTP,GBYOR
9.6,AIBTP,GHGTP
6.39,AIBTP,GLPTP
8.11,AIBTP,GNDOR
9.36,AIBTP,HDBTP
8.07,AIBTP,NMSTP
6.34,AIBTP,CZMTP
6.62,AIBTP,GDRTP
6.9,AIBTP,GHMTP
9.94,AIBTP,GLUTP
7.67,AIBTP,GNOOR
8.58,AIBTP,HPCTP
8.68,AIBTP,NNYTP
9.11,AIBTP,BBRTP
7.81,AIBTP,GAKTP
7.55,AIBTP,GDUTP
8.14,AIBTP,GHOTP
4.97,AIBTP,GMATP
7.77,AIBTP,GNWOR
8.69,AIBTP,HSZTP
9.81,AIBTP,NRDTP
10.85,BLATP,AGATP
0.74,BLATP,BGETP
6.69,BLATP,GAUTP
2.38,BLATP,GESTP
3.5,BLATP,GHSTP
7.54,BLATP,GMHTP
7.01,BLATP,GOSOR
12.67,BLATP,HUNOR
1.51,BLATP,NRSTP
8.52,BLATP,AIBTP
0,BLATP,BLATP
2.55,BLATP,GBBTP
4.83,BLATP,GFDTP
6.28,BLATP,GJETP
3.85,BLATP,GMIOR
2.18,BLATP,LLXTP
1.8,BLATP,NUTTP
1.8,BLATP,NUWTP
10.82,BLATP,AKTTP
0.28,BLATP,BLETP
0.28,BLATP,BLMTP
7.48,BLATP,GBCTP
3.87,BLATP,GFMTP
6.9,BLATP,GKITP
7.32,BLATP,GMLTP
7.59,BLATP,GROTP
2.04,BLATP,NAETP
11.45,BLATP,SLOTP
9.16,BLATP,AOETP
1.04,BLATP,BLGTP
7.52,BLATP,GBETP
5.41,BLATP,GFRTP
2.03,BLATP,GKKTP
3.37,BLATP,GMNTP
5.51,BLATP,GSTTP
2.12,BLATP,NAVTP
9.15,BLATP,AOLTP
12.62,BLATP,CHROR
5.09,BLATP,GBMTP
3.73,BLATP,GGITP
2.03,BLATP,GKLTP
4.12,BLATP,GMRTP
5.77,BLATP,GTUTP
2.16,BLATP,NAMTP
2.16,BLATP,NAWTP
10.64,BLATP,AWDTP
14.61,BLATP,COSTP
2.28,BLATP,GBOTP
6.66,BLATP,GHATP
2.11,BLATP,GKMTP
3.83,BLATP,GMZTP
5,BLATP,GWZTP
3.73,BLATP,NGRTP
10.68,BLATP,AWGTP
12.75,BLATP,CRITP
5.52,BLATP,GBWOR
4.46,BLATP,GHBTP
3.8,BLATP,GKSTP
5.95,BLATP,GNBTP
12.8,BLATP,HBSTP
1.99,BLATP,NLBTP
0.5,BLATP,BANTP
12.49,BLATP,CZATP
7.32,BLATP,GBYOR
